id,bdate,city,country,sex,is_closed,age,priority,marker
167618109,1984-09-27,20950,1,2,0,38,6.0,1.0
167688547,1960-04-22,20950,1,1,0,62,7.0,1.0
167704522,1965-08-23,20950,1,2,0,57,6.0,1.0
167763349,1983-05-12,1,1,2,0,39,6.0,1.0
167836823,1992-08-16,20950,1,2,0,30,5.0,1.0
167841243,1997-02-26,20950,1,2,0,25,5.0,1.0
167886418,1988-11-24,1660,1,2,1,34,8.0,1.0
167893717,1984-05-21,20950,1,2,0,38,6.0,1.0
168060543,1983-05-01,20950,1,1,0,39,6.0,1.0
168098725,1996-07-01,20950,1,2,0,26,5.0,1.0
168103283,1999-06-26,20950,1,2,0,23,5.0,1.0
168151744,1973-05-03,20950,1,1,0,49,6.0,1.0
168193653,1982-06-13,5792,1,2,0,40,6.0,1.0
168209069,1981-10-30,360,1,2,0,41,6.0,1.0
168214698,1998-08-27,20950,1,1,0,24,5.0,1.0
168224818,1996-06-30,20950,1,2,0,26,5.0,1.0
168249041,1981-02-16,20950,1,1,0,41,6.0,1.0
168264041,1964-04-02,2,1,1,0,58,6.0,1.0
168293697,1981-05-22,20950,1,2,0,41,6.0,1.0
168295342,1964-06-18,151,1,1,0,58,6.0,1.0
168367414,1989-01-01,20950,1,1,0,33,6.0,1.0
168407058,2000-02-28,2,1,1,0,22,5.0,1.0
168439814,1993-12-26,1,1,2,0,29,5.0,1.0
168451068,1995-01-25,20950,1,2,0,27,5.0,1.0
168466337,1985-09-12,20950,1,2,1,37,8.0,1.0
168528880,2002-11-14,20950,1,1,0,20,5.0,1.0
168543913,1975-10-02,20950,1,1,1,47,8.0,1.0
168549764,1984-09-01,151,1,2,0,38,6.0,1.0
168608937,1974-09-19,1245,1,2,0,48,6.0,1.0
168618506,1985-05-24,135,1,2,0,37,6.0,1.0
168628612,1996-01-11,20950,1,2,0,26,5.0,1.0
168652504,1983-01-07,20950,1,2,0,39,6.0,1.0
168660911,1977-05-07,20950,1,1,1,45,8.0,1.0
168667754,1983-12-07,18300,1,1,0,39,6.0,1.0
168715658,1955-02-17,360,1,1,0,67,7.0,1.0
168760919,1992-08-04,20950,1,1,1,30,8.0,1.0
168762559,1995-05-09,20950,1,2,1,27,8.0,1.0
168763759,1976-12-28,72,1,1,1,46,8.0,1.0
168770280,1988-06-21,6556,1,2,1,34,8.0,1.0
168835000,1974-10-04,20950,1,2,0,48,6.0,1.0
168856855,1975-12-29,20950,1,2,0,47,6.0,1.0
168872691,1989-02-13,20950,1,1,1,33,8.0,1.0
168877014,1988-02-06,20950,1,1,0,34,6.0,1.0
168985484,1995-06-26,20950,1,2,0,27,5.0,1.0
168987722,1980-01-22,151,1,1,0,42,6.0,1.0
168989870,1981-12-21,20950,1,2,1,41,8.0,1.0
169001307,2006-11-21,16289,1,2,0,16,5.0,1.0
169004600,1985-09-01,5887,1,1,0,37,6.0,1.0
169013491,1973-10-03,21,1,2,0,49,6.0,1.0
169050489,1959-05-13,20950,1,2,0,63,7.0,1.0
169115086,2000-08-19,20950,1,2,0,22,5.0,1.0
169135866,1989-01-11,74,1,2,1,33,8.0,1.0
169208046,1995-03-24,49,1,1,1,27,8.0,1.0
169221432,2000-07-20,264,1,2,0,22,5.0,1.0
169262957,1984-01-27,20950,1,1,0,38,6.0,1.0
169305702,1983-04-29,20950,1,1,0,39,6.0,1.0
169313789,1982-07-10,524,1,1,1,40,8.0,1.0
169328881,2002-12-21,2917,2,1,0,20,5.0,1.0
169339207,2006-08-08,20950,1,2,1,16,8.0,1.0
169347482,1974-06-11,20950,1,2,0,48,6.0,1.0
169368420,1996-02-15,20950,1,2,1,26,8.0,1.0
169388262,1982-03-06,5887,1,2,1,40,8.0,1.0
169395606,1993-10-03,20950,1,1,0,29,5.0,1.0
169422196,1991-06-06,104,1,2,0,31,6.0,1.0
169434169,1962-06-16,204,11,2,0,60,7.0,1.0
169452203,1983-09-09,151,1,2,0,39,6.0,1.0
169511569,1960-11-12,20950,1,2,0,62,7.0,1.0
169548059,1945-10-04,280,2,2,0,77,7.0,1.0
169592259,1974-03-21,49,1,1,0,48,6.0,1.0
169640216,1958-08-04,182,1,2,0,64,7.0,1.0
169662016,1984-10-17,1,1,2,0,38,6.0,1.0
169670369,1996-01-15,20950,1,2,0,26,5.0,1.0
169672993,1997-08-28,2,1,2,1,25,8.0,1.0
169674975,1984-04-14,4258011,218,1,0,38,6.0,1.0
169706666,1988-01-13,20950,1,1,0,34,6.0,1.0
169715582,2000-04-29,20950,1,1,0,22,5.0,1.0
169716070,1963-01-10,20950,1,2,1,59,8.0,1.0
169737433,1990-11-06,20950,1,2,0,32,6.0,1.0
169741800,1982-07-16,66,1,1,0,40,6.0,1.0
169785725,1991-01-17,20950,1,1,0,31,6.0,1.0
169818368,1988-04-14,1183,1,2,0,34,6.0,1.0
169835023,1991-11-09,21856,1,1,0,31,6.0,1.0
169855320,1968-05-21,20950,1,1,1,54,8.0,1.0
169899261,1975-12-09,20950,1,1,0,47,6.0,1.0
169919212,1982-02-20,20950,1,2,1,40,8.0,1.0
169925514,1984-11-11,20950,1,2,1,38,8.0,1.0
169939873,1987-02-02,899,1,1,1,35,8.0,1.0
169954082,2002-01-05,20950,1,1,0,20,5.0,1.0
169982596,1992-11-09,1966,1,2,1,30,8.0,1.0
169989825,1987-03-15,20950,1,1,1,35,8.0,1.0
169997004,1957-06-15,151,1,1,0,65,7.0,1.0
170059865,1975-06-27,20950,1,1,0,47,6.0,1.0
170076990,1970-09-06,20950,1,1,0,52,6.0,1.0
170100949,1985-09-29,20950,1,2,0,37,6.0,1.0
170116788,1989-12-05,715,1,1,1,33,8.0,1.0
170126050,1993-05-07,20950,1,1,0,29,5.0,1.0
170136510,1994-06-10,20950,1,2,0,28,5.0,1.0
170181495,1987-12-24,104,1,2,1,35,8.0,1.0
170185516,1985-01-30,20950,1,2,0,37,6.0,1.0
170192715,1981-04-08,20950,1,2,0,41,6.0,1.0
170209719,1971-03-08,1109966,1,2,0,51,6.0,1.0
170254702,1997-07-28,20950,1,1,0,25,5.0,1.0
170259288,2000-12-20,20950,1,2,1,22,8.0,1.0
170267578,1989-07-04,20950,1,2,0,33,6.0,1.0
170290068,1996-05-22,20950,1,1,0,26,5.0,1.0
170300377,1995-04-20,136,1,1,0,27,5.0,1.0
170313053,1983-07-30,2,1,1,0,39,6.0,1.0
170313683,1987-12-28,2,1,2,0,35,6.0,1.0
170315056,1983-05-23,20950,1,2,0,39,6.0,1.0
170330142,1978-04-24,20950,1,1,0,44,6.0,1.0
170351088,1985-04-03,20950,1,2,1,37,8.0,1.0
170360822,2007-01-01,20950,1,2,0,15,5.0,1.0
170367050,1976-10-20,20950,1,1,0,46,6.0,1.0
170375989,1997-09-12,123,1,2,0,25,5.0,1.0
170421512,1991-08-08,1004576,1,2,0,31,6.0,1.0
170464715,1983-01-17,62,1,2,0,39,6.0,1.0
170469720,1998-05-07,2,1,1,0,24,5.0,1.0
170491234,1966-08-10,545,1,2,0,56,6.0,1.0
170546990,1975-07-01,20950,1,2,0,47,6.0,1.0
170547502,1966-06-11,20950,1,1,0,56,6.0,1.0
170584894,2000-09-28,468,1,2,0,22,5.0,1.0
170594685,1959-05-12,20950,1,1,0,63,7.0,1.0
170605656,1989-09-01,649,3,2,1,33,8.0,1.0
170608294,1982-11-30,354,1,2,0,40,6.0,1.0
170639110,1988-12-31,147,1,1,0,34,6.0,1.0
170675225,1991-03-02,20950,1,1,0,31,6.0,1.0
170688038,1910-05-15,1951986,65,1,1,112,8.0,1.0
170693209,1972-08-08,20950,1,2,0,50,6.0,1.0
170709474,1978-05-07,20950,1,2,1,44,8.0,1.0
170714286,1992-09-08,20950,1,2,1,30,8.0,1.0
170716493,1969-05-25,20950,1,1,0,53,6.0,1.0
170724143,1995-11-13,20950,1,2,0,27,5.0,1.0
170730471,1980-03-16,20950,1,1,1,42,8.0,1.0
170752335,1971-09-30,283,1,1,0,51,6.0,1.0
170763757,1969-07-06,20950,2,1,0,53,6.0,1.0
170776291,2001-08-04,20950,1,1,0,21,5.0,1.0
170818906,1984-09-20,20950,1,2,0,38,6.0,1.0
170830530,1990-05-15,1277,1,1,0,32,6.0,1.0
170838417,1982-10-08,5489959,1,2,1,40,8.0,1.0
170845077,1992-12-21,283,1,2,1,30,8.0,1.0
170845969,2002-08-04,20950,1,2,1,20,8.0,1.0
170863792,1996-11-24,20950,1,2,0,26,5.0,1.0
170901740,1960-05-29,1767,1,1,1,62,8.0,1.0
170958110,1977-06-07,20950,1,1,0,45,6.0,1.0
